WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.198.92:5000
Press CTRL+C to quit
127.0.0.1 - - [18/Sep/2026 22:22:33] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:12] "GET /service-worker.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:30] "POST /api/v1/ai/chat HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:40] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:40] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:03] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:03] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:10] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:10] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /ask-ai HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /static/css/design-system.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /static/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /static/js/offline-store.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /static/js/sandbox-engine.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /api/v1/ai/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /static/manifest.webmanifest HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /favicon.ico HTTP/1.1" 204 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:13] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:15] "GET /service-worker.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:37] "POST /api/v1/ai/chat HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:43] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:29:43] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:30:13] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:30:13] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:30:27] "POST /api/v1/ai/chat HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:30:43] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:30:43] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:31:14] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:31:14] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:31:43] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:31:43] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:32:14] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:32:14] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:32:43] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:32:44] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:33:45] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:33:45] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:34:46] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:34:46] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:35:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:35:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:36:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:36:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:37:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:37:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:38:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:38:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:39:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:39:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:40:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:40:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:41:01] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:41:01] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:41:13] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:41:13] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:41:44] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:41:44] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:42:45] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:42:45] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:43:45] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:43:46] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:44:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:44:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:45:46] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:45:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:46:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:46:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:47:46] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:47:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:48:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:48:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:49:46] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:49:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:50:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:50:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:51:08] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:51:08] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:51:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:51:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:52:09] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:52:09] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:52:44] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:52:44] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:52:44] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:52:44] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:53:13] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:53:14] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:53:43] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:53:43] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:54:44] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:54:45] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:55:46] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:55:46] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:56:51] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:56:51] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:56:51] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:56:51] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:57:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:57:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:58:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:58:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:59:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:59:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:00:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:00:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:01:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:01:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:02:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:02:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:03:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:03:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:04:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:04:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:05:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:05:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:06:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:06:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:07:46] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:07:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:08:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:08:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:09:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:09:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:10:46] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:10:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:11:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:11:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:12:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:12:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:13:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:13:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:14:48] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:14:48] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:15:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:15:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:16:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:16:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:17:43] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:17:43] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:17:43] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:17:43] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:17:57] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:17:57] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:13] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:13] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:27] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:27] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:30] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:30] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:30] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:30] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:30] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:30] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:31] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:31] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:31] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:31] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:43] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:18:43] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:19:13] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:19:13] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:19:43] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:19:43] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:19:45] "POST /api/v1/ai/chat HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:20:13] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:20:13] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:20:43] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 23:20:43] "GET /api/v1/announcements HTTP/1.1" 200 -
